bate,min,dif,tt_unid,ano_lan,ar_ut_un
FALSE,46,-0.06521739130434778,43,2017,46.63
FALSE,47,-0.08510638297872342,43,2017,44.44
FALSE,47,-0.08510638297872342,43,2017,44.44
TRUE,43,0,43,2017,38.72
TRUE,43,0,43,2017,38.72
FALSE,47,-0.1063829787234043,42,2018,44.84
FALSE,88,-0.36363636363636365,56,2018,70.65
FALSE,179,-0.5977653631284916,72,2012,100.65
FALSE,236,-0.8220338983050848,42,2016,250
FALSE,61,-0.180327868852459,50,2016,56
TRUE,68,0.6470588235294117,112,2014,34.16
TRUE,27,0.18518518518518512,32,2014,34.16
TRUE,6,1.6666666666666665,16,2014,19.83
FALSE,52,-0.34615384615384615,34,2009,69.45
FALSE,71,-0.5211267605633803,34,2009,91.68
FALSE,115,-0.33913043478260874,76,2010,72.38
FALSE,55,-0.12727272727272732,48,2008,54.37
FALSE,83,-0.4457831325301205,46,2008,78.39
FALSE,183,-0.4972677595628415,92,2008,89.78
FALSE,15,-0.06666666666666665,14,2015,47.94
FALSE,33,-0.1515151515151515,28,2015,55.29
FALSE,60,-0.30000000000000004,42,2015,68.61
TRUE,90,0.05555555555555558,95,2009,49.96
FALSE,231,-0.1341991341991342,200,2009,61.01
FALSE,82,-0.20731707317073167,65,2013,54
FALSE,82,-0.20731707317073167,65,2013,54
FALSE,82,-0.20731707317073167,65,2013,54
FALSE,51,-0.33333333333333337,34,2013,66
FALSE,51,-0.33333333333333337,34,2013,66
FALSE,51,-0.33333333333333337,34,2013,66
FALSE,276,-0.6739130434782609,90,2014,118.69
FALSE,22,-0.5454545454545454,10,2012,110
TRUE,8,0.125,9,2009,57
TRUE,5,0.19999999999999996,6,2010,57
FALSE,109,-0.15596330275229353,92,2016,61.7
FALSE,6,-0.16666666666666663,5,2016,50
FALSE,53,-0.2264150943396226,41,2016,51.8
TRUE,8,0.125,9,2008,55
FALSE,6,-0.16666666666666663,5,2012,78
FALSE,120,-0.25,90,2011,56.11
FALSE,172,-0.36046511627906974,110,2011,68.75
FALSE,134,-0.4626865671641791,72,2011,68.75
FALSE,13,-0.07692307692307687,12,2018,40.05
FALSE,41,-0.6097560975609756,16,2018,109.47
TRUE,6,0.16666666666666674,7,2013,56
TRUE,8,0.125,9,2009,55
FALSE,65,-0.3846153846153846,40,2011,72.27
FALSE,14,-0.1428571428571429,12,2010,64
